RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
132	7	Aaron Rodgers	NYJ	QB20	12	2 out of 5 stars	1
133	7	Rico Dowdle	DAL	RB43	7	3 out of 5 stars	1
134	7	Brandin Cooks	DAL	WR57	7	3 out of 5 stars	12
135	7	Mike Williams	NYJ	WR58	12	4 out of 5 stars	23
136	7	Trey Benson	ARI	RB44	11	2 out of 5 stars	-26
137	7	Deshaun Watson	CLE	QB21	10	4 out of 5 stars	35
138	7	T.J. Hockenson	MIN	TE15	6	2 out of 5 stars	-14
139	8	Ty Chandler	MIN	RB45	6	3 out of 5 stars	8
140	8	Jerry Jeudy	CLE	WR59	10	3 out of 5 stars	8
141	8	Tyler Allgeier	ATL	RB46	12	4 out of 5 stars	22
142	8	Geno Smith	SEA	QB22	10	3 out of 5 stars	49
143	8	Antonio Gibson	NE	RB47	14	2 out of 5 stars	10
144	8	Baker Mayfield	TB	QB23	11	2 out of 5 stars	8
145	8	Josh Downs	IND	WR60	14	4 out of 5 stars	24
146	8	Jaleel McLaughlin	DEN	RB48	14	4 out of 5 stars	9
147	8	Luke Musgrave	GB	TE16	10	3 out of 5 stars	24
148	8	J.K. Dobbins	LAC	RB49	5	4 out of 5 stars	-18
149	8	Gabe Davis	JAC	WR61	12	4 out of 5 stars	12
150	8	Cole Kmet	CHI	TE17	7	3 out of 5 stars	-15
151	8	Hunter Henry	NE	TE18	14	3 out of 5 stars	39
152	8	Will Levis	TEN	QB24	5	5 out of 5 stars	16
153	8	Dontayvion Wicks	GB	WR62	10	4 out of 5 stars	3
154	8	Taysom Hill	NO	TE19	12	4 out of 5 stars	3
155	8	Ray Davis	BUF	RB50	12	2 out of 5 stars	49
156	8	Adam Thielen	CAR	WR63	11	5 out of 5 stars	4
157	8	Tyler Conklin	NYJ	TE20	12	3 out of 5 stars	32
158	8	Darnell Mooney	ATL	WR64	12	4 out of 5 stars	49
159	8	MarShawn Lloyd	GB	RB51	10	1 out of 5 stars	6
160	8	DeMario Douglas	NE	WR65	14	3 out of 5 stars	53
161	8	Adonai Mitchell	IND	WR66	14	4 out of 5 stars	1
162	8	Khalil Herbert	CHI	RB52	7	2 out of 5 stars	19
163	8	Michael Wilson	ARI	WR67	11	3 out of 5 stars	39
164	8	Ja'Lynn Polk	NE	WR68	14	3 out of 5 stars	14
165	8	Cade Otton	TB	TE21	11	3 out of 5 stars	29
166	8	Jahan Dotson	PHI	WR69	5	2 out of 5 stars	-7
167	8	Rashod Bateman	BAL	WR70	14	3 out of 5 stars	70
168	8	Jaylen Wright	MIA	RB53	6	3 out of 5 stars	-23
169	8	Daniel Jones	NYG	QB25	11	2 out of 5 stars	51
