team	week	def_sacks	def_interceptions	def_safeties	def_tds	fumble_recovery_opp	fumble_recovery_tds	special_teams_tds	def_punt_blocks	def_pat_blocks	def_fg_blocks	def_2pt_made	points_allowed
MIN	8	0	1	0	0	0	0	0	0	0	0	0	30
NE	8	1	0	0	0	0	0	0	0	0	0	0	22
NO	8	3	0	1	0	0	0	0	0	0	0	0	26
NYG	8	4	0	0	0	1	0	0	0	0	0	0	26
NYJ	8	2	0	0	0	0	0	0	0	0	0	0	25
PHI	8	1	1	0	0	1	0	0	0	0	0	0	17
PIT	8	4	1	0	0	1	0	1	0	0	0	0	18
SEA	8	0	1	0	0	0	0	0	0	0	0	0	31
SF	8	2	2	0	0	0	0	0	0	0	0	0	24
TB	8	2	0	1	0	0	0	0	0	0	0	0	31
TEN	8	4	0	0	0	0	0	0	0	0	0	0	52
WAS	8	3	0	0	0	1	0	0	0	0	0	0	15
ARI	9	6	0	1	0	0	0	0	0	0	0	0	9
ATL	9	3	0	0	0	0	0	0	0	0	0	0	21
BAL	9	4	1	0	0	0	0	0	0	0	0	0	10
BUF	9	1	0	0	0	1	0	0	0	0	0	0	27
CAR	9	1	0	0	0	0	0	0	0	0	0	0	22
CHI	9	3	0	0	0	2	0	0	0	0	0	0	29
CIN	9	5	0	0	0	2	0	0	0	0	0	0	24
CLE	9	6	0	0	0	0	0	0	0	0	0	0	27
DAL	9	2	0	0	0	1	0	0	0	0	0	0	27
DEN	9	1	0	0	0	0	0	0	0	0	0	0	41
DET	9	0	1	0	1	0	0	0	0	0	0	0	14
GB	9	1	0	0	0	0	0	0	0	0	0	0	24
HOU	9	2	0	0	0	0	0	0	0	0	0	0	21
IND	9	4	2	0	0	1	1	0	0	0	0	0	21
JAX	9	3	0	0	0	1	1	0	0	0	0	0	28
KC	9	2	0	0	0	0	0	0	0	0	0	0	24
LA	9	7	3	0	1	0	0	0	0	1	0	0	20
LAC	9	6	3	0	0	0	0	0	0	0	1	0	10
LV	9	1	1	0	1	0	0	0	0	0	0	0	41
MIA	9	1	1	0	0	0	0	0	0	0	0	0	30
MIN	9	3	1	0	0	1	0	0	0	0	0	0	13
NE	9	1	1	0	0	0	0	0	0	0	0	0	20
NO	9	1	1	0	0	0	0	0	0	0	0	0	23
NYG	9	0	0	0	0	0	0	0	0	0	0	0	27
NYJ	9	8	0	0	0	1	0	0	0	0	0	0	13
PHI	9	2	2	0	0	1	0	0	0	0	0	0	23
SEA	9	0	1	0	0	0	0	0	1	0	0	0	26
TB	9	4	0	0	0	1	0	0	0	0	0	0	30
TEN	9	4	2	0	0	1	0	0	0	0	0	0	17
WAS	9	2	0	0	0	1	0	0	0	0	0	0	22
ARI	10	3	0	0	0	1	0	0	0	0	0	0	6
ATL	10	0	0	0	0	0	0	0	0	0	0	0	20
BAL	10	3	0	0	0	1	0	0	0	0	0	0	34
BUF	10	4	3	0	1	1	0	0	0	0	0	0	20
CAR	10	2	2	0	0	1	0	0	0	0	0	0	17
CHI	10	1	1	0	0	0	0	0	0	0	0	0	19
CIN	10	0	0	0	0	0	0	0	0	0	0	0	35
DAL	10	5	1	0	0	1	0	0	0	0	0	0	34
DEN	10	4	0	0	0	0	0	0	0	0	0	0	16
DET	10	4	2	0	0	0	0	0	0	0	0	0	23
HOU	10	0	5	0	0	0	0	0	0	0	0	0	26
IND	10	2	2	0	0	0	0	0	0	0	0	0	30
JAX	10	1	3	0	0	0	0	0	0	0	0	0	12
KC	10	2	0	0	0	0	0	0	0	0	1	0	14
LA	10	3	1	0	0	1	0	0	0	0	0	0	23
LAC	10	7	0	0	0	0	0	0	0	0	0	0	17
MIA	10	4	1	0	0	1	0	0	0	0	0	0	15
MIN	10	3	2	0	0	1	0	0	0	0	0	0	7
NE	10	9	0	0	0	0	0	0	0	0	0	0	3
NO	10	3	1	0	0	0	0	0	0	0	1	0	17
NYG	10	1	0	0	0	1	0	0	0	0	0	0	20
NYJ	10	1	0	0	0	0	0	0	0	0	0	0	31
PHI	10	3	1	0	0	4	0	0	0	0	0	0	6
PIT	10	3	0	0	0	1	0	0	0	0	0	0	27
SF	10	2	0	0	0	0	0	0	0	0	0	0	20
TB	10	3	0	0	0	1	0	0	0	0	0	0	23
TEN	10	0	0	0	0	0	0	0	0	0	0	0	27
WAS	10	3	1	0	0	1	0	0	0	0	0	0	28
ATL	11	1	0	0	0	0	0	0	0	0	0	0	38
BAL	11	4	1	0	0	0	0	0	0	0	0	0	18
BUF	11	2	2	0	0	0	0	0	0	0	0	0	21
CHI	11	1	1	0	0	0	0	0	0	0	0	0	20
CIN	11	2	0	0	0	1	0	0	0	0	0	0	34
CLE	11	1	1	0	0	1	0	0	0	0	0	0	35
DAL	11	1	1	0	0	0	0	0	0	0	0	0	34
DEN	11	4	1	0	0	0	0	0	0	0	0	0	6
DET	11	1	1	0	0	0	0	0	0	0	0	0	6
GB	11	3	0	0	0	0	0	0	0	0	1	0	19
HOU	11	5	1	0	0	1	1	0	0	0	0	0	10
IND	11	3	0	0	0	0	0	0	0	0	0	0	27
JAX	11	0	0	0	0	0	0	0	0	0	0	0	52
KC	11	0	1	0	0	0	0	0	0	0	0	0	30
LA	11	3	1	0	0	1	0	0	0	1	0	0	22
LAC	11	3	0	0	0	0	0	0	0	0	0	0	27
LV	11	2	0	0	0	0	0	0	0	0	0	0	34
MIA	11	3	1	0	0	0	0	0	0	0	0	0	19
MIN	11	5	1	0	0	0	0	0	0	0	0	0	13
NE	11	0	0	0	0	0	0	0	0	0	0	0	28
NO	11	3	0	0	0	0	0	0	0	0	0	0	14
NYJ	11	2	0	0	0	1	0	0	0	0	0	0	28
PHI	11	3	1	0	0	0	0	0	0	0	0	0	18
PIT	11	2	1	0	0	2	0	0	0	0	0	0	16
SEA	11	2	1	0	0	0	0	0	0	0	0	0	17
SF	11	4	1	0	0	0	0	0	0	0	0	0	20
TEN	11	2	0	0	0	1	0	0	0	0	0	0	23
WAS	11	2	0	0	0	0	0	0	0	0	0	0	26
ARI	12	5	1	0	0	0	0	0	0	0	0	0	16
BAL	12	4	0	0	0	0	0	0	0	0	0	0	23
CAR	12	5	0	0	0	0	0	0	0	0	0	0	30
CHI	12	3	0	0	0	1	0	0	0	0	0	0	30
CLE	12	4	0	0	0	1	0	0	0	0	0	0	19
DAL	12	4	2	0	0	1	0	2	0	0	0	0	26
DEN	12	5	1	0	0	1	0	0	0	0	0	0	19
DET	12	0	0	0	0	0	0	0	0	0	0	0	6
GB	12	2	1	0	0	2	0	0	0	0	0	0	10
HOU	12	8	1	0	1	2	0	0	0	0	0	0	32
IND	12	3	0	0	0	0	0	0	0	0	0	0	24
KC	12	2	0	0	0	0	0	0	0	0	0	0	27
LA	12	1	0	0	0	0	0	0	0	0	0	0	37
LAC	12	1	0	0	0	0	0	0	0	0	0	0	30
LV	12	1	0	0	0	0	0	0	0	0	0	0	29
MIA	12	4	1	0	0	1	0	0	0	0	0	0	15
MIN	12	3	0	0	0	1	0	0	0	0	1	0	27
NE	12	2	0	0	0	1	1	0	0	0	0	0	34
NYG	12	0	0	0	0	1	0	0	0	0	0	0	30
PHI	12	5	0	0	0	1	0	0	0	0	0	0	20
PIT	12	1	1	0	0	2	0	0	0	0	0	0	24
SEA	12	5	1	0	1	0	0	0	0	0	0	0	6
SF	12	2	0	0	0	0	0	0	0	0	0	0	38
TB	12	4	0	0	0	1	0	0	0	0	0	0	7
TEN	12	4	2	1	0	0	0	0	0	0	0	0	27
WAS	12	1	0	0	0	1	0	0	0	0	1	0	34
ARI	13	5	0	0	0	1	0	0	0	0	0	0	23
ATL	13	5	0	0	0	1	0	0	0	0	0	0	17
BAL	13	2	0	0	0	0	0	0	0	0	0	0	24
BUF	13	1	0	0	0	3	0	0	0	0	0	0	10
CAR	13	4	2	0	0	0	0	0	0	0	0	0	26
CHI	13	2	0	0	0	1	0	0	0	0	0	0	23
CIN	13	2	1	0	1	0	0	0	0	0	1	0	44
CLE	13	0	2	0	0	0	0	0	0	0	0	0	41
DAL	13	6	1	0	1	1	0	0	0	0	0	0	20
DEN	13	3	3	0	2	0	0	0	0	0	0	0	32
DET	13	5	0	0	0	0	0	0	0	0	0	0	20
GB	13	5	0	0	0	1	0	0	0	0	0	0	17
HOU	13	0	1	0	0	0	0	0	0	0	0	0	20
IND	13	4	1	0	0	0	0	0	0	0	0	0	24
JAX	13	2	0	0	0	0	0	0	0	0	0	0	23
KC	13	3	0	0	0	1	0	0	0	0	0	0	17
LA	13	0	0	0	0	0	0	0	0	0	0	0	14
LAC	13	1	4	0	1	0	0	0	0	0	0	0	13
LV	13	4	0	0	0	0	0	0	0	0	0	0	19
MIA	13	0	0	0	0	0	0	0	0	0	0	0	30
MIN	13	1	2	0	0	0	0	0	0	0	0	0	22
NE	13	0	2	0	0	0	0	0	0	0	0	0	25
NO	13	2	0	0	0	0	0	0	0	0	0	0	21
NYG	13	0	0	0	0	0	0	0	0	0	0	0	27
NYJ	13	3	0	0	0	2	0	1	0	1	0	0	26
PHI	13	3	0	0	0	0	0	0	0	0	0	0	19
PIT	13	4	1	0	0	2	1	0	0	0	0	0	38
SEA	13	2	1	0	1	1	0	0	0	1	0	0	21
SF	13	0	0	0	0	0	0	0	0	0	0	0	35
TB	13	1	0	0	0	1	0	0	0	0	0	0	23
TEN	13	2	1	0	0	0	0	0	0	0	0	0	42
WAS	13	2	0	0	0	2	0	0	0	0	0	0	19
ARI	14	0	0	0	0	0	0	0	0	0	0	0	30
ATL	14	4	0	0	0	0	0	0	0	0	0	0	42
BUF	14	0	0	0	0	0	0	0	0	0	0	0	44
CAR	14	4	0	0	0	0	0	0	0	0	0	0	22
CHI	14	1	1	0	0	0	0	0	0	0	0	0	38
CIN	14	3	1	0	0	1	0	0	0	0	0	0	20
CLE	14	1	0	0	0	1	0	0	0	0	0	0	27
DAL	14	2	1	0	0	0	0	0	0	0	0	0	27
DET	14	1	0	0	0	1	0	0	0	0	0	0	31
GB	14	1	1	0	0	0	0	0	0	0	0	0	34
JAX	14	2	0	0	0	0	0	0	0	0	0	0	6
KC	14	3	0	0	0	0	0	0	0	0	0	0	17
LA	14	0	0	0	0	0	0	1	1	0	0	0	42
LAC	14	3	0	0	0	0	0	0	0	0	0	0	19
LV	14	4	2	0	0	1	0	0	0	0	0	0	28
MIA	14	3	0	0	0	0	0	0	0	0	0	0	26
MIN	14	1	2	0	0	1	0	0	0	0	0	0	21
NO	14	2	1	0	0	0	0	0	0	0	1	0	11
NYG	14	2	1	0	0	0	0	0	0	0	1	0	14
NYJ	14	0	0	0	0	0	0	0	0	0	0	0	32
PHI	14	1	1	0	0	0	0	0	0	0	0	0	16
PIT	14	3	2	0	0	1	0	0	0	0	0	0	14
SEA	14	2	2	0	0	0	0	0	0	0	0	0	18
SF	14	6	0	0	0	1	0	0	0	0	0	0	13
TB	14	2	1	0	0	1	0	0	0	0	0	0	13
TEN	14	1	2	0	0	0	0	0	0	0	0	0	10
