"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"85",9,"Eric Rivers Jr.",TB,"WR36","23","2 out of 5","2 out of 5","4 out of 5","+17"
"86",9,"Jalon Daniels",TB,"QB11","23","1 out of 5","2 out of 5","5 out of 5","+20"
"87",9,"Chase Roberts",LV,"WR37","25","2 out of 5","2 out of 5","4 out of 5","+3"
"88",9,"Al-Jay Henderson",FA,"RB25","-","4 out of 5","4 out of 5","4 out of 5","-"
"89",9,"Dallen Bentley",DEN,"TE16","25","1 out of 5","1 out of 5","4 out of 5","+7"
"90",9,"Joey Aguilar",JAC,"QB12","25","1 out of 5","1 out of 5","5 out of 5","+38"
"",9
"91",9,"Seydou Traore",MIA,"TE17","24","3 out of 5","3 out of 5","3 out of 5","-10"
"92",9,"Mark Gronowski",MIA,"QB13","24","4 out of 5","2 out of 5","5 out of 5","-"
"93",9,"Lewis Bond",HOU,"WR38","23","2 out of 5","2 out of 5","4 out of 5","-24"
"94",9,"Tyren Montgomery",TEN,"WR39","25","2 out of 5","2 out of 5","5 out of 5","-12"
"95",9,"Kentrel Bullock",CIN,"RB26","24","1 out of 5","2 out of 5","4 out of 5","+13"
"96",9,"Jaden Nixon",GB,"RB27","-","1 out of 5","4 out of 5","2 out of 5","-"
"97",9,"Arch Manning",FA,"QB14","22","5 out of 5","5 out of 5","2 out of 5","-"
"98",9,"Jaren Kanak",TEN,"TE18","22","1 out of 5","2 out of 5","5 out of 5","+11"
"99",9,"Chip Trayanum",NYJ,"RB28","24","1 out of 5","1 out of 5","5 out of 5","0"
"100",9,"Riley Nowakowski",PIT,"TE19","24","3 out of 5","2 out of 5","4 out of 5","-32"
"101",9,"Vinny Anthony II",ATL,"WR40","-","1 out of 5","2 out of 5","4 out of 5","+18"
"102",9,"Behren Morton",NE,"QB15","24","1 out of 5","1 out of 5","4 out of 5","+10"
"103",9,"RJ Maryland",GB,"TE20","22","2 out of 5","2 out of 5","4 out of 5","+32"
"104",9,"CJ Donaldson",NO,"RB29","22","1 out of 5","1 out of 5","5 out of 5","-4"
"105",9,"Athan Kaliakmanis",WAS,"QB16","23","1 out of 5","1 out of 5","5 out of 5","+24"
"106",9,"Chris Hilton Jr.",GB,"WR41","23","2 out of 5","2 out of 5","4 out of 5","+14"
"107",9,"Davon Booth",CLE,"RB30","24","2 out of 5","1 out of 5","5 out of 5","-"
"108",9,"Logan Diggs",FA,"RB31","-","-","-","-","-"
"109",9,"Miller Moss",CHI,"QB17","24","1 out of 5","1 out of 5","4 out of 5","+21"
"110",9,"Aaron Anderson",FA,"WR42","23","2 out of 5","1 out of 5","4 out of 5","-17"
"111",10,"Mel Brown",FA,"RB32","-","-","-","-","-"
"112",10,"Max Tomczak",BUF,"WR43","-","4 out of 5","4 out of 5","4 out of 5","-"
"113",10,"John Michael Gyllenborg",KC,"TE21","24","1 out of 5","1 out of 5","5 out of 5","-33"
"114",10,"Malachi Coleman",FA,"WR44","-","-","-","-","-"
"115",10,"L.J. Martin",FA,"RB33","-","4 out of 5","4 out of 5","4 out of 5","-"
"116",10,"Malachi Nelson",FA,"QB18","-","4 out of 5","3 out of 5","1 out of 5","-"
"117",10,"Jalen Walthall",FA,"WR45","23","1 out of 5","2 out of 5","4 out of 5","-"
"118",10,"Caullin Lacy",NYJ,"WR46","24","1 out of 5","1 out of 5","5 out of 5","+6"
"119",10,"Jake Retzlaff",FA,"QB19","23","-","-","-","-"
"120",10,"Noah Thomas",CIN,"WR47","22","1 out of 5","2 out of 5","4 out of 5","-10"
"121",10,"DJ Rogers",DAL,"TE22","24","2 out of 5","2 out of 5","5 out of 5","+11"
"122",10,"Will Kacmarek",MIA,"TE23","23","2 out of 5","2 out of 5","5 out of 5","-51"
"123",10,"TJ Harden",FA,"RB34","22","1 out of 5","1 out of 5","5 out of 5","-"
"124",10,"Tommy Castellanos",FA,"QB20","-","-","-","-","-"
"125",10,"Kyron Drones",FA,"QB21","23","-","-","-","-"
"126",10,"Jordan Hudson",DAL,"WR48","22","2 out of 5","1 out of 5","4 out of 5","-4"
"127",10,"Lake McRee",PIT,"TE24","-","1 out of 5","1 out of 5","5 out of 5","+4"
"128",10,"Kaden Wetjen",PIT,"WR49","24","2 out of 5","2 out of 5","4 out of 5","-58"
"129",10,"Harrison Wallace III",ARI,"WR50","23","1 out of 5","1 out of 5","5 out of 5","-42"
"130",10,"Dillon Bell",MIN,"WR51","22","2 out of 5","2 out of 5","4 out of 5","-4"
"131",10,"Joe Fagnano",BAL,"QB22","25","1 out of 5","1 out of 5","5 out of 5","-20"
"132",10,"Rueben Owens II",FA,"RB35","-","2 out of 5","3 out of 5","4 out of 5","-"
"133",10,"Romello Brinson",FA,"WR52","24","1 out of 5","2 out of 5","5 out of 5","-15"
"134",10,"Diego Pavia",FA,"QB23","24","1 out of 5","1 out of 5","5 out of 5","-50"
"135",10,"Hank Beatty",TEN,"WR53","22","-","-","-","-31"
"136",10,"Anthony Smith",DAL,"WR54","24","4 out of 5","4 out of 5","1 out of 5","-"
"137",10,"Josh Cuevas",BAL,"TE25","22","1 out of 5","1 out of 5","4 out of 5","-58"
"138",10,"Lance Mason",PIT,"TE26","-","1 out of 5","1 out of 5","1 out of 5","-"
