"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"394",14,"Jaylin Lane",WAS,"WR141","7","-","-","2 out of 5 stars","+202"
"395",14,"Justin Joly",FA,"TE54","-","-","-","-","+5"
"396",14,"Zane Gonzalez",FA,"K23","-","-","-","-","+95"
"397",14,"Spencer Shrader",IND,"K24","13","-","-","4 out of 5 stars","-67"
"398",14,"J'Mari Taylor",JAC,"RB110","7","-","-","4 out of 5 stars","-"
"399",14,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-144"
"400",14,"Jawhar Jordan",HOU,"RB111","8","-","-","4 out of 5 stars","+253"
"401",14,"Ben Sinnott",WAS,"TE55","7","-","-","1 out of 5 stars","+255"
"402",14,"Nick Folk",ATL,"K25","11","-","-","0 out of 5 stars","-133"
"403",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+118"
"404",14,"Ashton Dulin",IND,"WR142","13","-","-","4 out of 5 stars","-2"
"405",14,"Blake Grupe",NYJ,"K26","13","-","-","2 out of 5 stars","-91"
"406",14,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","+100"
"407",14,"Barion Brown",NO,"WR143","8","-","-","3 out of 5 stars","-44"
"408",14,"Daniel Bellinger",TEN,"TE56","9","-","-","3 out of 5 stars","+191"
"409",14,"Mitchell Evans",CAR,"TE57","5","-","-","2 out of 5 stars","+44"
"410",14,"Ryan Fitzgerald",CAR,"K27","5","-","-","0 out of 5 stars","-77"
"411",14,"Luke Musgrave",GB,"TE58","11","-","-","2 out of 5 stars","+109"
"412",14,"Devontez Walker",BAL,"WR144","13","-","-","4 out of 5 stars","-107"
"413",14,"Nick Westbrook-Ikhine",FA,"WR145","-","-","-","-","+249"
"414",14,"Joey Slye",TEN,"K28","9","-","-","4 out of 5 stars","-93"
"415",14,"Jordan Whittington",LAR,"WR146","11","-","-","1 out of 5 stars","-49"
"416",14,"Washington Commanders",WAS,"DST28","7","-","-","2 out of 5 stars","-137"
"417",14,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-152"
"418",15,"Isaiah Williams",NYJ,"WR147","13","-","-","4 out of 5 stars","+234"
"419",15,"Corey Kiner",NE,"RB112","11","-","-","2 out of 5 stars","-"
"420",15,"Jam Miller",FA,"RB113","-","-","-","-","+156"
"421",15,"Elijah Higgins",ARI,"TE59","14","-","-","2 out of 5 stars","-49"
"422",15,"Chad Ryland",ARI,"K29","14","-","-","2 out of 5 stars","-112"
"423",15,"Khalil Herbert",FA,"RB114","-","-","-","-","-"
"424",15,"Dylan Laube",LV,"RB115","13","-","-","2 out of 5 stars","-"
"425",15,"Ben Sauls",FA,"K30","-","-","-","-","-109"
"426",15,"Phil Mafah",FA,"RB116","-","-","-","-","-"
"427",15,"Jonnu Smith",GB,"TE60","11","-","-","2 out of 5 stars","-26"
"428",15,"Brandon McManus",FA,"K31","-","-","-","-","-35"
"429",15,"Jeremy McNichols",WAS,"RB117","7","-","-","4 out of 5 stars","-"
"430",15,"Antonio Williams",FA,"RB118","-","-","-","-","-"
"431",15,"Austin Ekeler",FA,"RB119","-","-","-","-","+28"
"432",15,"Austin Hooper",ATL,"TE61","11","-","-","3 out of 5 stars","+64"
"433",15,"Miami Dolphins",MIA,"DST30","6","-","-","3 out of 5 stars","-143"
"434",15,"Tyler Goodson",ATL,"RB120","11","-","-","2 out of 5 stars","-"
"435",15,"Dohnte Meyers",CIN,"WR148","6","-","-","4 out of 5 stars","-97"
"436",15,"Matt Hibner",BAL,"TE62","13","-","-","4 out of 5 stars","-"
"437",15,"Hunter Luepke",DAL,"RB121","14","-","-","4 out of 5 stars","+81"
"438",15,"John Bates",WAS,"TE63","7","-","-","1 out of 5 stars","+211"
"439",15,"Ronnie Rivers",LAR,"RB122","11","-","-","5 out of 5 stars","+118"
"440",15,"Dameon Pierce",PHI,"RB123","10","-","-","4 out of 5 stars","-"
"441",15,"Marlin Klein",HOU,"TE64","8","-","-","4 out of 5 stars","+107"
"442",15,"Tai Felton",MIN,"WR149","6","-","-","5 out of 5 stars","+236"
"443",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-68"
"444",15,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-35"
"445",15,"Greg Dortch",BUF,"WR150","7","-","-","4 out of 5 stars","+225"
"446",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-137"
"447",15,"Zavier Scott",CHI,"RB124","10","-","-","2 out of 5 stars","-"
"448",15,"Terrell Jennings",FA,"RB125","-","-","-","-","-"
"449",15,"Dyami Brown",WAS,"WR151","7","-","-","2 out of 5 stars","+58"
