"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"505",16,"Sterling Shepard",FA,"WR198","33","505","505","505.0","0.0","-"
"506",16,"Dohnte Meyers",CIN,"WR199","26","506","506","506.0","0.0","-"
"507",16,"Damien Alford",FA,"WR200","25","507","507","507.0","0.0","-"
"508",16,"Jared Wayne",HOU,"WR201","25","508","508","508.0","0.0","-"
"509",16,"Kevin Austin Jr.",NO,"WR202","26","509","509","509.0","0.0","-"
"510",16,"Lil'Jordan Humphrey",DEN,"WR203","28","510","510","510.0","0.0","-"
"511",16,"Jamari Thrash",CLE,"WR204","25","511","511","511.0","0.0","-"
"512",16,"Marquez Valdes-Scantling",DAL,"WR205","31","512","512","512.0","0.0","-"
"513",16,"Arian Smith",NYJ,"WR206","24","513","513","513.0","0.0","-"
"514",16,"Tim Patrick",NYJ,"WR207","32","514","514","514.0","0.0","-"
"515",16,"Mitch Tinsley",CIN,"WR208","26","515","515","515.0","0.0","-"
"516",16,"Tanner Hudson",CIN,"TE99","31","516","516","516.0","0.0","-"
"517",16,"Zay Jones",FA,"WR209","31","517","517","517.0","0.0","-"
"518",16,"Darius Cooper",PHI,"WR210","24","518","518","518.0","0.0","-"
"519",16,"Jonathan Mingo",DAL,"WR211","25","519","519","519.0","0.0","-"
"520",16,"Tyler Johnson",DAL,"WR212","27","520","520","520.0","0.0","-"
"521",16,"Vinny Anthony II",ATL,"WR213","-","521","521","521.0","0.0","-"
"522",16,"Nick Nash",WAS,"WR214","26","522","522","522.0","0.0","-"
"523",16,"Tyler Scott",LAR,"WR215","24","523","523","523.0","0.0","-"
"524",16,"David Moore",CAR,"WR216","31","524","524","524.0","0.0","-"
"525",16,"Allen Lazard",FA,"WR217","30","525","525","525.0","0.0","-"
"526",16,"Cedrick Wilson Jr.",DET,"WR218","30","526","526","526.0","0.0","-"
"527",16,"Casey Washington",CAR,"WR219","25","527","527","527.0","0.0","-"
"528",16,"Chris Moore",BAL,"WR220","33","528","528","528.0","0.0","-"
"529",16,"Ricky White III",SEA,"WR221","24","529","529","529.0","0.0","-"
"530",16,"Ray-Ray McCloud III",FA,"WR222","29","530","530","530.0","0.0","-"
"531",16,"Dante Pettis",BUF,"WR223","30","531","531","531.0","0.0","-"
"532",16,"Scotty Miller",CHI,"WR224","29","532","532","532.0","0.0","-"
"533",16,"Ben Skowronek",PIT,"WR225","29","533","533","533.0","0.0","-"
"534",16,"Michael Bandy",DEN,"WR226","28","534","534","534.0","0.0","-"
"535",16,"Shedrick Jackson",LV,"WR227","26","535","535","535.0","0.0","-"
"536",16,"Xavier Smith",LAR,"WR228","28","536","536","536.0","0.0","-"
"537",16,"Johnny Wilson",PHI,"WR229","25","537","537","537.0","0.0","-"
"538",16,"David Sills V",TB,"WR230","30","538","538","538.0","0.0","-"
"539",16,"Henry Ruggs III",FA,"WR231","27","539","539","539.0","0.0","-"
"540",16,"Skyy Moore",GB,"WR232","25","540","540","540.0","0.0","-"
