Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
235	Robbie Gould	SF	K9	4	168	286	227.4	22.6	193	-42
236	Brett Maher	DAL	K10	8	177	291	223.9	20.2	196	-40
237	Matt Prater	DET	K11	5	175	289	224	21.5	215	-22
238	Danny Amendola	DET	WR88	5	129	339	242.2	38.4	267	29
239	Michael Badgley	LAC	K12	12	174	310	230.7	21.6	213	-26
240	T.J. Yeldon	BUF	RB70	6	116	388	236.2	42.1	252	12
241	Cameron Brate	TB	TE27	7	152	343	237.4	36.4	294	53
242	Adam Vinatieri	IND	K13	6	172	309	237.7	18.8	207	-35
243	Tennessee (TEN)		DST16	11	188	278	230.3	20	228	-15
244	Pittsburgh (PIT)		DST17	7	186	295	234.2	19.5	208	-36
245	Willie Snead	BAL	WR89	8	121	294	234.9	31.1	299	54
246	Josh Reynolds	LAR	WR90	9	152	368	246.1	33	341	95
247	D'Onta Foreman	IND	RB71	6	100	435	206.8	73.9	171	-76
248	Indianapolis (IND)		DST18	6	186	313	241.4	24.8	223	-25
249	Eli Manning	NYG	QB30	11	138	350	249.3	30.9	248	-1
250	Equanimeous St. Brown	GB	WR91	11	139	331	248.5	35.5	344	94
251	Ian Thomas	CAR	TE28	7	159	348	241.6	37	262	11
252	Jason Myers	SEA	K14	11	181	329	245.6	23.8	224	-28
253	Ricky Seals-Jones	ARI	TE29	12	141	339	246.3	40	322	69
254	Jason Witten	DAL	TE30	8	122	334	231.1	41	199	-55
255	Doug Martin	OAK	RB72	6	123	317	245.2	37.4	324	69
256	Ryquell Armstead	JAC	RB73	10	133	333	241.9	47.5	266	10
257	Kansas City (KC)		DST19	12	167	309	249.3	27.5	192	-65
258	Kenneth Dixon	BAL	RB74	8	120	348	234.7	55.3	338	80
259	Darren Waller	OAK	TE31	6	122	287	200.1	45.4	231	-28
260	Tony Pollard	DAL	RB75	8	116	361	207.6	57.1	186	-74
261	Phillip Dorsett	NE	WR92	10	177	368	254.9	39.4	293	32
262	Keelan Cole	JAC	WR93	10	82	366	252.4	34.2	353	91
263	Dwayne Haskins	WAS	QB31	10	162	327	248.9	42.1	220	-43
264	Hayden Hurst	BAL	TE32	8	180	349	248.7	29.4	309	45
265	Graham Gano	CAR	K15	7	189	311	249.5	21.8	249	-16
266	J.J. Arcega-Whiteside	PHI	WR94	10	147	315	247.5	35.5	272	6
267	Chris Conley	JAC	WR95	10	145	371	257.1	35.8	386	119
268	Ryan Fitzpatrick	MIA	QB32	5	173	395	262.3	44.6	271	3
269	Theo Riddick	DEN	RB76	10	143	389	251.9	45.5	287	18
270	Rashard Higgins	CLE	WR96	7	107	349	250.4	52.3	263	-7
271	Carolina (CAR)		DST20	7	198	297	255.3	21.3	242	-29
272	Aldrick Rosas	NYG	K16	11	185	300	254.2	20.5	225	-47
273	Darwin Thompson	KC	RB77	12	128	352	232.4	59.5	206	-67
274	Dan Bailey	MIN	K17	12	184	315	259.3	26.8	214	-60
275	Ryan Succop	TEN	K18	11	201	327	270.5	23.8	250	-25
276	Green Bay (GB)		DST21	11	167	318	266.9	28	229	-47
277	Atlanta (ATL)		DST22	9	168	317	263.4	26.6	244	-33
278	Josh Rosen	MIA	QB33	5	130	388	273.1	45.6	273	-5
279	Chris Boswell	PIT	K19	7	198	312	270	23	274	-5
280	Taywan Taylor	TEN	WR97	11	197	363	265.2	35.9	403	123
281	Corey Clement	PHI	RB78	10	189	337	271.8	31.3	354	73
282	Hakeem Butler	ARI	WR98	12	85	315	264.4	33	278	-4
283	Chris Hogan	CAR	WR99	7	160	359	269.4	38.9	303	20
284	Miles Boykin	BAL	WR100	8	110	355	248.7	52.1	283	-1
285	Breshad Perriman	TB	WR101	7	141	364	269	48	371	86
286	Arizona (ARI)		DST23	12	210	337	282.7	27.2	268	-18
287	Demaryius Thomas	NE	WR102	10	148	400	259	49.3	245	-42
288	Brandon McManus	DEN	K20	10	203	313	278	18.1	260	-28
289	Benny Snell Jr.	PIT	RB79	7	70	346	270.7	44.7	257	-32
290	Case Keenum	WAS	QB34	10	191	416	293	39.1	346	56
291	Terry McLaurin	WAS	WR103	10	86	372	241.9	57.2	327	36
292	Alfred Blue	JAC	RB80	10	146	381	284.3	51.5	316	24
293	Josh Lambo	JAC	K21	10	204	352	284.6	22.7	315	22
294	Dexter Williams	GB	RB81	11	152	402	269.7	52.5	277	-17
295	Greg Joseph	CLE	K22	7	192	318	276.1	28.3	349	54
296	Washington (WAS)		DST24	10	195	320	291.1	27.5	251	-45
297	Ty Montgomery	NYJ	RB82	4	156	385	276.8	47.9	329	32
298	Nick Vannett	SEA	TE33	11	199	359	276.4	35.1	451	153
299	Jordan Wilkins	IND	RB83	6	204	398	292.3	36.3	374	75
300	Detroit (DET)		DST25	5	212	346	295.7	24.4	247	-53
301	Steven Hauschka	BUF	K23	6	208	338	293.5	22.7	311	10
302	Devontae Booker	DEN	RB84	10	172	372	294.5	36	376	74
303	Josh Adams	PHI	RB85	10	111	484	279.4	67.3	412	109
304	Giorgio Tavecchio	ATL	K24	9	182	313	264.1	37	211	-93
305	Demarcus Robinson	KC	WR104	12	113	349	268.2	41.8	290	-15
306	Cairo Santos	TB	K25	7	214	332	299	26.1	660	354
307	Cordarrelle Patterson	CHI	WR105	6	217	347	287.6	32.8	394	87
308	Will Dissly	SEA	TE34	11	151	339	245.1	47.6	342	34
309	Charles Clay	ARI	TE35	12	201	359	287.4	33.9	418	109
310	Diontae Johnson	PIT	WR106	7	133	371	278.4	43.5	323	13
311	New York (NYJ)		DST26	4	180	334	281.7	28.6	239	-72
312	New York (NYG)		DST27	11	215	346	302.7	25.3	280	-32
313	Jake Kumerow	GB	WR107	11	206	360	294.3	34	385	72
314	Daniel Carlson	OAK	K26	6	209	355	300.6	24.2	340	26
315	Jonnu Smith	TEN	TE36	11	139	362	275.6	33.6	400	85
316	KeeSean Johnson	ARI	WR108	12	128	383	251.5	62.8	314	-2
317	Jordan Thomas	HOU	TE37	10	169	377	252.1	48.9	308	-9
318	Jalen Hurd	SF	WR109	4	114	368	270	51	295	-23
319	Irv Smith Jr.	MIN	TE38	12	212	354	278.2	34.7	235	-84
320	Wendell Smallwood	PHI	RB86	10	195	434	308.4	39.9	391	71
321	Deon Cain	IND	WR110	6	197	397	298	43.5	312	-9
322	Wayne Gallman	NYG	RB87	11	233	381	307.7	30.6	343	21
323	Ryan Grant	OAK	WR111	6	212	395	292.1	36.3	765	442
324	Josh Gordon	NE	WR112	10	110	374	246.4	74.8	191	-133
325	Keith Kirkwood	NO	WR113	9	205	370	298.8	34.7	551	226
326	Matt LaCosse	NE	TE39	10	159	366	266.1	47.6	265	-61
327	San Francisco (SF)		DST28	4	184	350	303.2	33.3	234	-93
328	Travis Benjamin	LAC	WR114	12	198	351	262.2	40.5	375	47
329	Spencer Ware	IND	RB88	6	179	393	279.2	45.2	360	31
330	Hunter Renfrow	OAK	WR115	6	124	378	260.7	53.6	296	-34
331	Ryan Tannehill	TEN	QB35	11	190	419	318.5	45.8	411	80
332	Geoff Swaim	JAC	TE40	10	183	377	271.9	58	310	-22
333	Daniel Jones	NYG	QB36	11	198	417	306.8	50.1	261	-72
334	Miami (MIA)		DST29	5	211	361	307.7	29.7	289	-45
335	John Kelly	LAR	RB89	9	236	416	309.6	39.6	682	347
336	Matt Bryant	FA	K27		195	320	265.2	39.2	325	-11
337	Cameron Meredith	NE	WR116	10	224	393	301	36.8	873	536
338	Jake Butt	DEN	TE41	10	190	384	298.1	38.8	384	46
339	Maurice Harris	NE	WR117	10	169	387	270.3	48	313	-26
340	Justin Watson	TB	WR118	7	197	342	273.8	41.1	438	98
341	Trent Taylor	SF	WR119	4	182	540	286	69.8	348	7
342	Rod Smith	NYG	RB90	11	235	517	325.4	44.2	1,024.00	682
343	Mike Weber	DAL	RB91	8	235	499	321.4	54	292	-51
344	Cameron Artis-Payne	CAR	RB92	7	237	415	328.3	29.6	332	-12
345	Qadree Ollison	ATL	RB93	9	195	391	289.2	56.5	291	-54
346	Tampa Bay (TB)		DST30	7	231	348	305.9	25.4	305	-41
347	Kendrick Bourne	SF	WR120	4	179	397	300.7	41.4	422	75
348	Bilal Powell	NYJ	RB94	4	211	451	316.6	52	352	4
349	Vernon Davis	WAS	TE42	10	191	345	284.4	46.8	456	107
350	Bruce Anderson	TB	RB95	7	173	350	266.8	46.4	331	-19
351	Jace Sternberger	GB	TE43	11	173	388	285	48.3	366	15
352	Blake Jarwin	DAL	TE44	8	178	360	278.3	43	330	-22
353	Benjamin Watson	NE	TE45	10	153	329	273.3	31.4	256	-97
