Rank	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
189	Josh Reynolds	LAR	WR84	9	24	129	232	190.6	22.2
190	Nelson Agholor	PHI	WR85	10	26	104	269	200.6	26.1
191	Trey Quinn	WAS	WR86	10	23	155	226	193.1	19.5
192	Chris Thompson	WAS	RB56	10	28	133	250	196.8	26
193	Daniel Jones	NYG	QB27	11	22	121	265	207.6	27.7
194	Giovani Bernard	CIN	RB57	9	27	138	321	198	38
195	Kelvin Harmon	WAS	WR87	10	22	118	282	208.7	32.2
196	Justin Jackson	LAC	RB58	12	23	125	271	188.1	32.4
197	Josh Rosen	MIA	QB28	5	22	134	264	199.8	33
198	Peyton Barber	TB	RB59	7	25	144	263	190.2	28.5
199	Chase Edmonds	ARI	RB60	12	23	109	368	192.2	55.9
200	Mike Davis	CHI	RB61	6	26	122	234	184	19
201	Jamaal Williams	GB	RB62	11	24	139	260	197.8	23.8
202	Marqise Lee	JAC	WR88	10	27	84	246	200.8	27.5
203	T.J. Yeldon	BUF	RB63	6	25	108	307	201	37.4
204	C.J. Anderson	DET	RB64	5	28	166	230	202.7	15.1
205	Benny Snell Jr.	PIT	RB65	7	21	67	245	202.8	34.1
206	Tony Pollard	DAL	RB66	8	22	86	301	166.5	54
207	Hayden Hurst	BAL	TE25	8	26	152	383	216.7	45.1
208	Randall Cobb	DAL	WR89	8	29	165	330	226.6	42.6
209	Andrew Luck	FA 	QB29		29	41	243	115.1	80.3
210	Andy Dalton	CIN	QB30	9	31	133	278	213.9	36
211	Elijah McGuire	NYJ	RB67	4	25	143	313	214	39
212	Bryce Love	WAS	RB68	10	22	142	269	215.8	25.4
213	D'Onta Foreman	FA	RB69		23	118	287	195.1	48.6
214	Jalen Richard	OAK	RB70	6	25	123	278	207.6	32.7
215	Delanie Walker	TEN	TE26	11	35	143	253	211.9	26.5
216	David Moore	SEA	WR90	11	24	142	243	212.1	25
217	Mohamed Sanu	ATL	WR91	9	30	161	262	215.8	25.7
218	Nick Foles	JAC	QB31	10	30	136	280	226.6	29.2
219	Rashard Higgins	CLE	WR92	7	24	137	298	217.4	41.1
220	Adrian Peterson	WAS	RB71	10	34	164	342	220.7	40.6
221	Rex Burkhead	NE	RB72	10	29	192	271	221.6	22.9
222	Equanimeous St. Brown	GB	WR93	11	22	178	275	223.6	27.8
223	Jimmy Graham	GB	TE27	11	32	178	247	215.6	17.2
224	Gus Edwards	BAL	RB73	8		141	286	227.2	35.4
225	Preston Williams	MIA	WR94	5	22	127	241	204.4	28.4
226	Ryquell Armstead	JAC	RB74	10	22	125	257	205.6	27.9
227	Gerald Everett	LAR	TE28	9	25	116	287	223.5	26.3
228	Greg Olsen	CAR	TE29	7	34	141	344	234.3	38.3
229	Rodney Anderson	CIN	RB75	9		87	335	225.7	58.2
230	Taywan Taylor	TEN	WR95	11	24	153	332	240.6	38.5
231	Malcolm Brown	LAR	RB76	9	26	113	370	219.9	57.7
232	Jonnu Smith	TEN	TE30	11	24	184	386	231.1	45.6
233	Josh Doctson	WAS	WR96	10	26	134	296	220.9	37.2
