RK	TIERS	PLAYER NAME	TEAM	POS	AGE
220	11	Russell Wilson	NYG	QB32	36
221	11	Tahj Brooks	CIN	RB63	23
222	11	Elijah Moore	BUF	WR93	25
223	11	Brashard Smith	KC	RB64	22
224	11	Darius Slayton	NYG	WR94	28
225	11	Kendre Miller	NO	RB65	23
226	11	Will Shipley	PHI	RB66	22
227	11	Austin Ekeler	WAS	RB67	30
228	11	Ollie Gordon II	MIA	RB68	21
229	11	Oronde Gadsden II	LAC	TE35	22
230	11	Tyler Lockett	TEN	WR95	32
231	12	Jordan Whittington	LAR	WR96	24
232	12	Jordan James	SF	RB69	21
233	12	Shedeur Sanders	CLE	QB33	23
234	12	Woody Marks	HOU	RB70	24
235	12	Malik Washington	MIA	WR97	24
236	12	Devaughn Vele	DEN	WR98	27
237	12	Trevor Etienne	CAR	RB71	21
238	12	Audric Estime	DEN	RB72	21
239	12	Luke McCaffrey	WAS	WR99	24
240	12	Kyle Monangai	CHI	RB73	23
241	12	Kayshon Boutte	NE	WR100	23
242	12	Aaron Rodgers	PIT	QB34	41
243	12	Juwan Johnson	NO	TE36	28
244	12	Daniel Jones	IND	QB35	28
245	12	Jaleel McLaughlin	DEN	RB74	24
246	12	Jalen Tolbert	DAL	WR101	26
247	12	Jacory Croskey-Merritt	WAS	RB75	24
248	12	Ja'Lynn Polk	NE	WR102	23
249	12	Dont'e Thornton Jr.	LV	WR103	22
250	12	Damien Martinez	SEA	RB76	21
251	12	Dyami Brown	JAC	WR104	25
252	12	Michael Mayer	LV	TE37	24
253	12	Calvin Austin III	PIT	WR105	26
254	12	Keaton Mitchell	BAL	RB77	23
255	12	Parker Washington	JAC	WR106	23
256	12	Jermaine Burton	CIN	WR107	24
257	12	Noah Gray	KC	TE38	26
258	12	Noah Fant	CIN	TE39	27
259	12	Brandin Cooks	NO	WR108	31
260	12	Isaiah Davis	NYJ	RB78	23
261	12	Devin Singletary	NYG	RB79	27
262	12	Tai Felton	MIN	WR109	22
263	12	Xavier Restrepo	TEN	WR110	23
264	12	Kareem Hunt	KC	RB80	30
265	12	Brandon Aubrey	DAL	K1	30
266	12	Miles Sanders	DAL	RB81	28
267	12	Nick Westbrook-Ikhine	MIA	WR111	28
268	12	Pittsburgh Steelers	PIT	DST1	-
269	12	Antonio Gibson	NE	RB82	27
