Rank	Player	Team	Pos	Bye	Best	Worst	Avg	Std Dev
132	Ben Roethlisberger	PIT	QB15	9	64	248	140.2	41.5
133	D'Onta Foreman	HOU	RB42	7	75	199	130.1	28.4
134	Austin Hooper	ATL	TE15	5	94	200	134.9	22.6
135	Chris Godwin	TB	WR63	11	81	205	130.9	32.8
136	Delanie Walker	TEN	TE16	8	94	155	136.3	14.5
137	Jeremy Hill	CIN	RB43	6	66	245	143.9	36.9
138	Malcolm Mitchell	NE	WR64	9	95	241	147	33.5
139	Robert Kelley	WAS	RB44	5	92	166	137.3	18.4
140	Jack Doyle	IND	TE17	11	114	169	143.4	14.5
141	Philip Rivers	LAC	QB16	9	116	188	143.7	17
142	Marqise Lee	JAC	WR65	8	99	194	144.9	24
143	Devin Funchess	CAR	WR66	11	88	209	144.5	30.7
144	Tyrod Taylor	BUF	QB17	6	114	190	147.6	22.6
145	James White	NE	RB45	9	93	234	150	30.4
146	T.J. Yeldon	JAC	RB46	8	43	212	152.5	38.9
147	Jamaal Williams	GB	RB47	8	84	220	142.1	40.8
148	Danny Woodhead	BAL	RB48	10	71	184	146.4	34.5
149	Allen Hurns	JAC	WR67	8	74	215	154.4	30.5
150	Jerick McKinnon	MIN	RB49	9	110	212	154.5	25.4
151	Dion Lewis	NE	RB50	9	50	226	152.6	34.4
152	Joe Williams	SF	RB51	11	113	193	148.1	25.9
153	Mike Wallace	BAL	WR68	10	119	184	151.7	17.9
154	Jamaal Charles	DEN	RB52	5	55	235	154.5	40.1
155	Devontae Booker	DEN	RB53	5	120	264	156.2	33.5
156	Matt Forte	NYJ	RB54	11	75	201	155.2	30.7
157	Marlon Mack	IND	RB55	11	98	224	146.8	29.1
158	Kenny Golladay	DET	WR69	7	61	215	147.2	43.8
159	Frank Gore	IND	RB56	11	70	225	158.5	32.5
160	Quincy Enunwa	NYJ	WR70	11	98	233	161.4	28.5
161	LeGarrette Blount	PHI	RB57	10	91	190	159.9	21.3
162	Kenny Stills	MIA	WR71	11	127	244	162.6	25.9
163	Charles Sims	TB	RB58	11	133	227	162.4	25.4
164	Tyler Boyd	CIN	WR72	6	98	265	167.6	34.2
165	Jonathan Stewart	CAR	RB59	11	99	192	163.9	28.1
166	Carlos Henderson	DEN	WR73	5	109	203	156.5	25
167	DeAndre Washington	OAK	RB60	10	130	233	167.4	27.1
168	Blake Bortles	JAC	QB18	8	109	228	161.3	32.8
169	J.J. Nelson	ARI	WR74	8	124	243	168.4	26.7
170	Julius Thomas	MIA	TE18	11	89	222	167.3	27.3
171	Andy Dalton	CIN	QB19	6	108	181	159	19.4
172	Cameron Brate	TB	TE19	11	130	227	167.5	23.5
173	Coby Fleener	NO	TE20	5	116	198	169.9	21.1
174	Michael Floyd	MIN	WR75	9	42	258	168.5	45.2
175	C.J. Fiedorowicz	HOU	TE21	7	139	193	171	14.4
176	Taylor Gabriel	ATL	WR76	5	110	208	172.5	25.5
177	Patrick Mahomes	KC	QB20	10	130	192	163.3	18.8
178	Jonathan Williams	BUF	RB61	6	78	244	167.5	47.9
179	Robert Woods	LAR	WR77	8	132	214	175.8	22
180	Deshaun Watson	HOU	QB21	7	114	211	164.5	30.5
181	Cooper Kupp	LAR	WR78	8	93	230	169.9	37.7
182	Terrance West	BAL	RB62	10	143	200	175.4	18.3
183	ArDarius Stewart	NYJ	WR79	11	126	237	180.1	31.6
184	Josh Gordon CLE 	WR80	9	78	271	187.8	52.5	
185	Rex Burkhead	NE	RB63	9	148	219	181.5	19.8
186	Tavon Austin	LAR	WR81	8	117	226	183.9	25.3
187	Jalen Richard	OAK	RB64	10	133	258	190.3	34.5
188	Jeremy McNichols	TB	RB65	11	131	246	183.4	27.2
189	Cole Beasley	DAL	WR82	6	159	220	181.8	15.9
190	Eli Manning	NYG	QB22	8	127	212	180.3	25.9
191	Paul Richardson	SEA	WR83	6	150	272	196.1	32.7
192	Taywan Taylor	TEN	WR84	8	95	226	186.6	36.4
193	Gerald Everett	LAR	TE22	8	135	234	182	25.4
194	James Conner	PIT	RB66	9	89	260	189.4	47.4
195	Robby Anderson	NYJ	WR85	11	87	233	189.2	41.4
196	Nelson Agholor	PHI	WR86	10	69	250	189.2	48.7
197	Dorial Green-Beckham	FA	WR87		33	219	166.4	67.8
198	Ryan Tannehill MIA 	QB23	11	113	239	189.8	30.3	
199	Jacquizz Rodgers	TB	RB67	11	124	241	194.6	30.1
200	Chris Hogan	NE	WR88	9	158	252	193.4	22.5
201	Austin Seferian-Jenkins	NYJ	TE23	11	91	249	180.7	47.3
202	Adam Shaheen	CHI	TE24	9	141	247	194.7	33.4
203	Ladarius Green	FA	TE25		114	211	175.5	31.8
204	Chad Williams	ARI	WR89	8	140	214	188.3	20.4
205	Phillip Dorsett	IND	WR90	11	107	250	199.6	32.6
206	Aaron Jones	GB	RB68	8	149	241	194.9	29.9
207	Chris Conley	KC	WR91	10	145	245	193.9	32.7
208	Kenyan Drake	MIA	RB69	11	135	218	189.9	26.3
209	Kendall Wright	CHI	WR92	9	102	247	201.9	51.4
210	Braxton Miller	HOU	WR93	7	102	236	198.7	37.9
211	DeShone Kizer	CLE	QB24	9	155	248	201	32.1
212	Travis Benjamin	LAC	WR94	9	157	257	205.3	30.3
213	Darren Sproles	PHI	RB70	10	165	240	201.3	24.4
214	Tyler Higbee	LAR	TE26	8	138	224	195.4	23.6
215	Ted Ginn	NO	WR95	5	133	249	205.7	33.8
216	Mitch Trubisky	CHI	QB25	9	149	263	202.5	31.1
217	Wendell Smallwood	PHI	RB71	10	169	229	200	18.7
218	Jeremy Langford	CHI	RB72	9	86	265	215.3	56.3
219	Leonte Carroo	MIA	WR96	11	97	240	206.1	38.9
220	Tajae Sharpe	TEN	WR97	8	167	310	212.4	44.7
221	Jake Butt	DEN	TE27	5	156	245	203.4	28.2
222	Chris Ivory	JAC	RB73	8	103	254	215.6	43.7
223	Matt Jones	WAS	RB74	5	100	247	207.3	62
224	Jaelen Strong	HOU	WR98	7	108	301	204.5	96.5
225	Ryan Mathews	FA	RB75		174	256	201.5	23.2
226	Eli Rogers	PIT	WR99	9	145	259	216.1	33.8
227	Josh Reynolds	LAR	WR100	8	161	252	219.3	32
228	Joe Flacco	BAL	QB26	10	164	271	209.6	27.6
229	Dwayne Allen	NE	TE28	9	187	244	203.7	18.3
230	Shane Vereen	NYG	RB76	8	134	255	214.5	32.5
231	Denver Broncos		DST1	5	136	317	214.9	50
232	Carson Palmer	ARI	QB27	8	138	274	214.6	39.3
233	Dede Westbrook	JAC	WR101	8	161	227	200.9	21.9
234	Seattle Seahawks		DST2	6	140	229	201.2	29.4
235	Houston Texans		DST3	7	146	231	202.3	27.6
236	Jason Witten	DAL	TE29	6	166	255	207	22.6
237	Antonio Gates	LAC	TE30	9	147	246	217.3	32.9
238	Torrey Smith	PHI	WR102	10	187	246	209.2	20.1
239	Mohamed Sanu	ATL	WR103	5	186	246	205.9	15.7
240	Christine Michael IND 	RB77	11	147	254	215.3	41	
241	Jesse James	PIT	TE31	9	173	260	220.4	30.8
242	Kansas City Chiefs		DST4	10	151	244	215.2	30.8
243	Darren McFadden	DAL	RB78	6	168	221	192.3	21.9
244	Minnesota Vikings		DST5	9	156	233	201.7	33
245	Wayne Gallman	NYG	RB79	8	176	249	216.5	21.7
246	New England Patriots		DST6	9	161	248	223.8	32.1
247	Amara Darboh	SEA	WR104	6	163	261	226.8	39.2
248	Jonnu Smith	TEN	TE32	8	177	244	214.1	21
249	George Kittle	SF	TE33	11	172	260	214.7	27.8
250	Malachi Dupre	GB	WR105	8	164	267	215.5	51.5
251	Jimmy Garoppolo	NE	QB28	9	181	257	218.3	22.7
252	Tarik Cohen	CHI	RB80	9	167	248	219.3	26.1
253	Arizona Cardinals		DST7	8	171	245	216.2	24.1
254	Donnel Pumphrey	PHI	RB81	10	176	247	217.8	21.5
255	Justin Tucker	BAL	K1	10	172	219	195.5	23.5
256	Jared Cook	OAK	TE34	10	182	248	212.8	19.5
257	Sam Bradford	MIN	QB29	9	179	249	222.1	23.5
258	Stephen Gostkowski	NE	K2	9	178	250	225.8	29.2
259	Jacksonville Jaguars		DST8	8	180	231	203.7	21
260	Alex Smith	KC	QB30	10	181	302	237.2	38.9
261	Dan Bailey	DAL	K3	6	183	253	218.7	28.6
262	Chris Thompson	WAS	RB82	5	185	246	216	16.3
263	Dwayne Washington	DET	RB83	7	194	250	217.5	18.5
264	Jared Goff	LAR	QB31	8	188	238	217.9	16.6
265	Charles Clay	BUF	TE35	6	186	267	239.9	24.3
266	Mason Crosby	GB	K4	8	187	252	223	27
267	Zach Miller	CHI	TE36	9	191	280	221.6	27.8
268	Carolina Panthers		DST9	11	189	251	225.8	24.9
269	Gary Barnidge	FA	TE37		190	251	221.8	23.2
270	Adam Vinatieri	IND	K5	11	192	250	224.7	24.2
271	Seth Roberts	OAK	WR106	10	193	299	234.4	30.3
272	New York Giants		DST10	8	194	216	205	11
273	Los Angeles Rams		DST11	8	198	224	211	13
274	Paxton Lynch	DEN	QB32	5	198	295	236	32
275	Erik Swoope	IND	TE38	11	199	251	231.8	19.6
276	Vance McDonald	SF	TE39	11	199	272	237.4	20.5
277	Mack Hollins	PHI	WR107	10	213	230	219	7.8
278	Chad Hansen	NYJ	WR108	11	206	255	221	16.4
279	Robert Turbin	IND	RB84	11	201	234	222	14.9
280	Cincinnati Bengals		DST12	6	209	237	223	14
281	Steven Hauschka	BUF	K6	6	222	232	226.3	4.2
282	Oakland Raiders		DST13	10	208	246	227	19
283	Elijah Hood	OAK	RB85	10	222	242	229.6	7.3
284	Philadelphia Eagles		DST14	10	221	239	230	9
285	Alex Collins	SEA	RB86	6	204	253	230.8	17.5
286	Roger Lewis	NYG	WR109	8	229	233	231	2
