Rank	Tier	WSID	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
355	undefined		Zay Jones	LV	WR129	6	25	216	427	318.3	70.8
356	undefined		Patrick Laird	MIA	RB108	11	25	234	372	298	49.1
357	undefined		JaMycal Hasty	SF	RB109	11	23	219	425	302.6	73.8
358	undefined		Jonathan Williams	DET	RB110	5	26	248	341	300.2	39.7
359	undefined		J.D. McKissic	WAS	RB111	8	27	206	397	274.3	76.9
360	undefined		Trey Quinn	WAS	WR130	8	24	240	362	300.4	35.1
361	undefined		Delanie Walker	FA	TE50		36	242	294	275.5	20.3
362	undefined		Jordan Akins	HOU	TE51	8	28	193	373	275.8	82.5
363	undefined		Dan Bailey	MIN	K12	7	32	233	330	277.5	38
364	undefined		John Hightower	PHI	WR131	9	24	243	428	308.4	63.6
365	undefined		Robert Foster	BUF	WR132	11	26	231	363	306.8	49
366	undefined		Greg Ward	PHI	WR133	9	25	269	302	284	11.8
367	undefined		Cleveland (CLE)		DST17	9		219	299	245.7	37.7
368	undefined		C.J. Uzomah	CIN	TE52	9	27	234	368	286.3	54.4
369	undefined		Taylor Gabriel	FA	WR134		29	263	382	311.2	54.7
370	undefined		Mike Davis	CAR	RB112	13	27	261	327	289.3	25.2
371	undefined		Tajae Sharpe	MIN	WR135	7	25	244	370	290.8	47.5
372	undefined		Graham Gano	NYG	K13	11	33	224	297	253.3	31.5
373	undefined		Seattle (SEA)		DST18	6		225	303	254	34.8
374	undefined		Marqise Lee	NE 	WR136	6	28	242	404	314.4	53.9
375	undefined		Carolina (CAR)		DST19	13		225	315	258	40.5
376	undefined		Reggie Bonnafon	CAR	RB113	13	24	231	284	260	21.9
377	undefined		Jacob Eason	IND	QB44	7	22	206	393	296.5	67.1
378	undefined		Keelan Cole	JAC	WR137	7	27	266	380	318.6	31.9
379	undefined		Drew Sample	CIN	TE53	9	24	187	194	190.5	3.5
380	undefined		Qadree Ollison	ATL	RB114	10	24	252	407	335	57.9
381	undefined		Riley Ridley	CHI	WR138	11	23	271	378	321.4	35.4
382	undefined		Dallas (DAL)		DST20	10		248	308	268.7	27.8
383	undefined		Darren Fells	HOU	TE54	8	34	184	439	331	58.7
384	undefined		Thaddeus Moss	FA	TE55		22	201	347	270.7	59.8
385	undefined		Nick Boyle	BAL	TE56	8	27	197	339	271.7	58.2
